BEG	BEG	airport	Belgrade Nikola Tesla	44.818333	20.309167	Belgrade	BEG	Serbia	RS	Europe/Belgrade
BNA	BNA	airport	Nashville International	36.124444	-86.678333	Nashville	BNA	United States	US	America/Chicago
BTS	BTS	airport	Bratislava Airport	48.170278	17.212778	Bratislava	BTS	Slovakia	SK	Europe/Bratislava
BRE	BRE	airport	Bremen	53.0475	8.786667	Bremen	BRE	Germany	DE	Europe/Berlin
CRL	CRL	airport	Brussels South Charleroi	50.459167	4.453889	City of Brussels	BRU	Belgium	BE	Europe/Brussels
CLE	CLE	airport	Cleveland Hopkins International	41.411667	-81.849722	Cleveland	CLE	United States	US	America/New_York
ORY	ORY	airport	Paris Orly	48.723333	2.379444	Paris	PAR	France	FR	Europe/Paris
YYC	YYC	airport	Calgary International	51.113889	-114.02028	Calgary	YYC	Canada	CA	America/Edmonton
CPT	CPT	airport	Cape Town International	-33.964722	18.601667	Cape Town	CPT	South Africa	ZA	Africa/Johannesburg
CGO	CGO	airport	Zhengzhou Xinzheng International	34.519444	113.841111	Zhengzhou	CGO	China	CN	Asia/Shanghai
CHC	CHC	airport	Christchurch International	-43.489444	172.532222	Christchurch	CHC	New Zealand	NZ	Pacific/Auckland
LGA	LGA	airport	LaGuardia	40.777222	-73.8725	New York City	NYC	United States	US	America/New_York
CMN	CMN	airport	Mohammed V International	33.3675	-7.59	Casablanca	CAS	Morocco	MA	Africa/Casablanca
GOJ	GOJ	airport	Strigino International	56.23	43.784167	Nizhny Novgorod	GOJ	Russia	RU	Europe/Moscow
IKT	IKT	airport	International Airport Irkutsk	52.268056	104.388889	Irkutsk	IKT	Russia	RU	Asia/Irkutsk
KHH	KHH	airport	Kaohsiung International	22.577222	120.35	Kaohsiung	KHH	Taiwan	TW	Asia/Taipei
KTM	KTM	airport	Tribhuvan International	27.696667	85.359167	Kathmandu	KTM	Nepal	NP	Asia/Katmandu
MRV	MRV	airport	Mineralnye Vody	44.225	43.081944	Mineralnye Vody	MRV	Russia	RU	Europe/Moscow
NCL	NCL	airport	Newcastle	55.0375	-1.691667	Newcastle upon Tyne	NCL	United Kingdom	GB	Europe/London
OAK	OAK	airport	Oakland International	37.721389	-122.22083	Oakland	OAK	United States	US	America/Los_Angeles
UTP	UTP	airport	U-Tapao International	12.679722	101.005	Pattaya	UTP	Thailand	TH	Asia/Bangkok
PEN	PEN	airport	Penang International	5.297222	100.276667	Penang	PEN	Malaysia	MY	Asia/Kuala_Lumpur
PMO	PMO	airport	Falcone–Borsellino	38.181944	13.099444	Palermo	PMO	Italy	IT	Europe/Rome
TRN	TRN	airport	Turin	45.2025	7.649444	Turin	TRN	Italy	IT	Europe/Rome
WRO	WRO	airport	Copernicus Airport Wrocław	51.102778	16.885833	Wrocław	WRO	Poland	PL	Europe/Warsaw
AMM	AMM	airport	Queen Alia International	31.7225	35.993333	Amman	AMM	Jordan	JO	Asia/Amman
SAW	SAW	airport	Sabiha Gökçen International	40.898611	29.309167	Istanbul	IST	Turkey	TR	Europe/Istanbul
BEY	BEY	airport	Beirut–Rafic Hariri International	33.820833	35.488333	Beirut	BEY	Lebanon	LB	Asia/Beirut
BLL	BLL	airport	Billund	55.740278	9.151667	Billund	BLL	Denmark	DK	Europe/Copenhagen
BLR	BLR	airport	Bengaluru International	13.198889	77.705556	Bengaluru	BLR	India	IN	Asia/Calcutta
CNS	CNS	airport	Cairns	-16.878056	145.748889	Cairns	CNS	Australia	AU	Australia/Brisbane
PUJ	PUJ	airport	Punta Cana International	18.5675	-68.363333	Punta Cana	PUJ	Dominican Republic	DO	America/Santo_Domingo
CGK	CGK	airport	Soekarno–Hatta International	-6.125556	106.655833	Jakarta	JKT	Indonesia	ID	Asia/Jakarta
DLC	DLC	airport	Dalian Zhoushuizi International	38.965556	121.538611	Dalian	DLC	China	CN	Asia/Shanghai
VKO	VKO	airport	Vnukovo International	55.591667	37.261389	Moscow	MOW	Russia	RU	Europe/Moscow
